Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Renault,Kadjar,2015,SUV,184000.0,1500.0,Diesel,Automatic,10999.0,7,q4,26286.0,12880.0,5555.573333333334
Volvo,XC90,2006,SUV,294000.0,2400.0,Diesel,Automatic,8500.0,16,q3,18375.0,47040.0,15680.0
Volkswagen,Golf,2010,Hatchback,164000.0,1400.0,Petrol,Automatic,7650.0,12,q2,13667.0,19680.0,5904.0
Lexus,CT Series,2011,Hatchback,122841.0,1800.0,Hybrid,Automatic,11600.0,11,q2,11167.0,13512.51,6146.867294117647
Mazda,Rare,2008,Hatchback,172000.0,1399.0,Diesel,Manual,4999.0,14,q2,12286.0,24080.0,4720.6243137254905
BMW,X5,2017,Crossover,100000.0,2000.0,Hybrid,Automatic,37000.0,5,q4,20000.0,5000.0,7254.901960784314
Skoda,Octavia,2009,Universal,235000.0,1400.0,Petrol,Automatic,6200.0,13,q3,18077.0,30550.0,7427.843137254902
Fiat,Rare,2012,Combi,256000.0,1300.0,Diesel,Manual,4490.0,10,q4,25600.0,25600.0,4507.607843137255
Audi,A8,2004,Sedan,314000.0,3000.0,Diesel,Automatic,5650.0,18,q3,17444.0,56520.0,12523.058823529413
Mercedes,B Class,2014,Microvan,194000.0,1991.0,Metan/Propan,Automatic,10000.0,8,q4,24250.0,15520.0,6086.274509803921
Dacia,Duster,2012,Crossover,67000.0,1500.0,Diesel,Manual,7200.0,10,q1,6700.0,6700.0,1891.764705882353
Mercedes,E Class,2002,Sedan,11111.0,3200.0,Diesel,Automatic,5200.0,20,q1,556.0,2222.2,453.1545098039215
Skoda,Superb,2016,Sedan,180000.0,2000.0,Diesel,Automatic,17450.0,6,q4,30000.0,10800.0,7390.588235294118
Renault,Grand Scenic,2017,Minivan,135000.0,1462.0,Diesel,Automatic,15850.0,5,q4,27000.0,6750.0,4195.588235294118
Mini,Rare,2015,Hatchback,84000.0,1600.0,Petrol,Automatic,10900.0,7,q2,12000.0,5880.0,2513.4117647058824
Toyota,Avensis Verso,2002,Minivan,280000.0,2000.0,Diesel,Manual,3150.0,20,q2,14000.0,56000.0,6917.64705882353
Land Rover,Freelander,2001,SUV,230000.0,1900.0,Metan/Propan,Manual,3500.0,21,q2,10952.0,48300.0,6629.411764705882
Opel,Astra,2011,Universal,200123.0,2000.0,Diesel,Manual,8200.0,11,q3,18193.0,22013.53,7078.86062745098
Volkswagen,Polo,2000,Hatchback,264000.0,1400.0,Petrol,Manual,2500.0,22,q2,12000.0,58080.0,5694.117647058823
Audi,A6,2018,Universal,101000.0,2000.0,Diesel,Automatic,26000.0,4,q4,25250.0,4040.0,4119.21568627451
Vaz,Altele,2008,Universal,92424.0,1600.0,Metan/Propan,Manual,3399.0,14,q1,6602.0,12939.36,1724.7405741176472
