Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Volvo,S60,2010,Sedan,108000.0,200.0,Petrol,Automatic,11700.0,12,q1,9000.0,12960.0,5946.35294117647
Jeep,Rare,2006,SUV,235628.0,3000.0,Diesel,Automatic,5250.0,16,q3,14727.0,37700.48,7761.863529411766
Lexus,Es Series,2018,Sedan,21400.0,2500.0,Hybrid,Automatic,28900.0,4,q1,5350.0,856.0,970.1333333333333
Opel,Combo,2008,Minivan,300000.0,1000.0,Diesel,Manual,3200.0,14,q4,21429.0,42000.0,5270.588235294118
Porsche,Rare,2016,Crossover,64500.0,3000.0,Petrol,Automatic,32900.0,6,q2,10750.0,3870.0,4993.058823529412
Opel,Zafira,2010,Minivan,114000.0,1800.0,Petrol,Manual,7700.0,12,q1,9500.0,13680.0,4130.823529411765
Mercedes,E Class,2009,Sedan,293000.0,3000.0,Diesel,Automatic,7500.0,13,q4,22538.0,38090.0,11202.941176470587
BMW,7 Series,2009,Sedan,280000.0,2993.0,Diesel,Automatic,17500.0,13,q4,21538.0,36400.0,24980.392156862745
Nissan,Rare,1996,SUV,255000.0,2400.0,Metan/Propan,Manual,5250.0,26,q1,9808.0,66300.0,13650.0
Ford,Fusion,2016,Sedan,121000.0,2000.0,Plug-in Hybrid,Automatic,12800.0,6,q4,20167.0,7260.0,3644.235294117647
Ford,Rare,2017,Crossover,120000.0,2000.0,Petrol,Automatic,14200.0,5,q4,24000.0,6000.0,3341.176470588235
Audi,Q5,2014,Universal,150000.0,2000.0,Petrol,Automatic,16800.0,8,q3,18750.0,12000.0,7905.882352941177
BMW,5 Series,2000,Sedan,250000.0,2800.0,Petrol,Automatic,3900.0,22,q2,11364.0,55000.0,8411.764705882353
Mercedes,E Class,2011,Sedan,256000.0,1800.0,Metan/Propan,Automatic,11300.0,11,q4,23273.0,28160.0,12478.745098039215
Volkswagen,Passat,2008,Sedan,262000.0,1600.0,Metan/Propan,Manual,6000.0,14,q3,18714.0,36680.0,8630.588235294117
Peugeot,Rare,2002,Sedan,247000.0,2200.0,Diesel,Manual,2200.0,20,q2,12350.0,49400.0,4261.9607843137255
Volkswagen,Golf,1987,Hatchback,11111.0,1800.0,Petrol,Manual,8000.0,35,q1,317.0,3888.85,1220.0313725490196
BMW,5 Series,1992,Universal,256000.0,2000.0,Petrol,Manual,3000.0,30,q1,8533.0,76800.0,9035.29411764706
Land Rover,Range Rover Sport,2012,SUV,141000.0,3000.0,Diesel,Automatic,20900.0,10,q2,14100.0,14100.0,11556.470588235294
Renault,Laguna,1995,Hatchback,126000.0,2000.0,Petrol,Manual,600.0,27,q1,4667.0,34020.0,800.4705882352941
Ford,Rare,1991,Sedan,200000.0,2400.0,Petrol,Automatic,900.0,31,q1,6452.0,62000.0,2188.235294117647
Renault,Grand Scenic,2013,Minivan,138500.0,1500.0,Diesel,Automatic,7999.0,9,q3,15389.0,12465.0,3910.099411764706
Honda,Rare,2007,Hatchback,160000.0,1400.0,Petrol,Automatic,4700.0,15,q2,10667.0,24000.0,4423.529411764706
Ford,Fusion,2013,Sedan,140000.0,2000.0,Plug-in Hybrid,Automatic,10500.0,9,q3,15556.0,12600.0,5188.235294117647
Toyota,Auris,2013,Hatchback,23000.0,1400.0,Diesel,Manual,8200.0,9,q1,2556.0,2070.0,665.6470588235294
Ford,Rare,2011,Universal,196000.0,1600.0,Diesel,Manual,5400.0,11,q3,17818.0,21560.0,4565.64705882353
Volkswagen,Touran,2013,Minivan,183000.0,1600.0,Diesel,Automatic,8250.0,9,q4,20333.0,16470.0,5328.529411764706
Ford,Transit Connect,2008,Minivan,280000.0,1800.0,Diesel,Manual,3400.0,14,q4,20000.0,39200.0,5226.666666666667
Renault,Megane,2004,Sedan,200000.0,1500.0,Diesel,Manual,2750.0,18,q2,11111.0,36000.0,3882.3529411764707
Volkswagen,Caddy,2010,Minivan,370000.0,1600.0,Diesel,Manual,6150.0,12,q4,30833.0,44400.0,10708.235294117647
Ford,Rare,2017,Crossover,118000.0,1500.0,Petrol,Automatic,12300.0,5,q4,23600.0,5900.0,2845.8823529411766
Toyota,Prius,2010,Sedan,210000.0,1800.0,Hybrid,Automatic,6800.0,12,q3,17500.0,25200.0,6720.0
Ford,Fusion,2005,Hatchback,213000.0,1400.0,Petrol,Manual,2950.0,17,q2,12529.0,36210.0,4189.0
Hyundai,Tucson,2006,Crossover,116000.0,2000.0,Metan/Propan,Manual,5699.0,16,q1,7250.0,18560.0,4147.978039215686
Renault,Scenic,2005,Universal,280000.0,1500.0,Diesel,Manual,2599.0,17,q3,16471.0,47600.0,4851.466666666666
Renault,Clio,2015,Hatchback,139000.0,1200.0,Petrol,Manual,4890.0,7,q4,19857.0,9730.0,1865.870588235294
Seat,Ibiza,2012,Universal,149000.0,1200.0,Diesel,Manual,5600.0,10,q3,14900.0,14900.0,3272.156862745098
Volkswagen,Rare,2002,Microvan,192000.0,2500.0,Diesel,Manual,10900.0,20,q1,9600.0,38400.0,16414.117647058825
Mercedes,GLK Class,2014,Crossover,258000.0,2200.0,Diesel,Manual,14500.0,8,q4,32250.0,20640.0,11736.470588235294
Hyundai,Matrix,2002,Microvan,280000.0,1600.0,Petrol,Manual,3200.0,20,q2,14000.0,56000.0,7027.450980392156
BMW,X6,2018,SUV,10000.0,2993.0,Diesel,Automatic,42990.0,4,q1,2500.0,400.0,674.3529411764706
Volkswagen,Passat,2010,Sedan,158000.0,1984.0,Petrol,Automatic,7599.0,12,q2,13167.0,18960.0,5650.08
Opel,Corsa,2006,Hatchback,231000.0,1300.0,Diesel,Automatic,2550.0,16,q2,14438.0,36960.0,3696.0
Mitsubishi,Rare,2002,Minivan,416000.0,1900.0,Diesel,Manual,3100.0,20,q4,20800.0,83200.0,10114.509803921568
BMW,5 Series,1997,Sedan,30000.0,2500.0,Petrol,Manual,2500.0,25,q1,1200.0,7500.0,735.2941176470588
Honda,Accord,1993,Coupe,390000.0,1997.0,Petrol,Automatic,2000.0,29,q2,13448.0,113100.0,8870.588235294117
Dacia,Logan Mcv,2011,Minivan,180000.0,1500.0,Diesel,Manual,5700.0,11,q3,16364.0,19800.0,4425.882352941177
Mini,Rare,2019,Crossover,15000.0,2000.0,Petrol,Automatic,28200.0,3,q1,5000.0,450.0,497.6470588235294
Volkswagen,Passat,2006,Sedan,11111.0,2000.0,Petrol,Manual,5250.0,16,q1,694.0,1777.76,366.0094117647059
Toyota,Corolla,2005,Hatchback,243000.0,1400.0,Diesel,Automatic,5799.0,17,q2,14294.0,41310.0,9394.38
Renault,Megane,2010,Universal,129000.0,1461.0,Diesel,Automatic,2000.0,12,q2,10750.0,15480.0,1214.1176470588234
Mercedes,C Class,2016,Sedan,90000.0,1800.0,Petrol,Automatic,21900.0,6,q3,15000.0,5400.0,4637.64705882353
Lincoln,Rare,1986,Sedan,70000.0,5000.0,Petrol,Automatic,3600.0,36,q1,1944.0,25200.0,3557.6470588235293
Audi,Rare,2014,Universal,114500.0,1390.0,Petrol,Automatic,13600.0,8,q2,14312.0,9160.0,4885.333333333333
Audi,A4,2018,Sedan,14000.0,1998.0,Diesel,Automatic,21900.0,4,q1,3500.0,560.0,480.94117647058823
Toyota,Land Cruiser Prado,2005,SUV,290000.0,3000.0,Diesel,Automatic,14700.0,17,q3,17059.0,49300.0,28420.0
Mercedes,E Class,2011,Sedan,215000.0,2500.0,Diesel,Automatic,13800.0,11,q4,19545.0,23650.0,12798.823529411764
Volkswagen,Passat,2016,Sedan,69884.0,1800.0,Petrol,Automatic,19500.0,6,q2,11647.0,4193.04,3206.4423529411765
Volkswagen,Golf,2005,Hatchback,310000.0,1900.0,Diesel,Manual,5999.0,17,q3,18235.0,52700.0,12397.933333333332
Toyota,Avensis,2009,Universal,220000.0,2000.0,Petrol,Automatic,8700.0,13,q3,16923.0,28600.0,9757.64705882353
Hyundai,Rare,2019,Sedan,22000.0,1600.0,Petrol,Automatic,17400.0,3,q1,7333.0,660.0,450.3529411764706
Dacia,Logan Mcv,2015,Universal,155000.0,1500.0,Diesel,Manual,5600.0,7,q4,22143.0,10850.0,2382.7450980392155
Renault,Kangoo,2002,Minivan,200000.0,1900.0,Diesel,Manual,1499.0,20,q1,10000.0,40000.0,2351.372549019608
BMW,5 Series,2007,Sedan,400000.0,2000.0,Diesel,Automatic,7999.0,15,q4,26667.0,60000.0,18821.176470588234
BMW,5 Series,2007,Sedan,300000.0,2000.0,Diesel,Automatic,7499.0,15,q4,20000.0,45000.0,13233.529411764706
Volvo,XC90,2007,SUV,300000.0,2400.0,Diesel,Automatic,10999.0,15,q4,20000.0,45000.0,19410.0
BMW,5 Series,2005,Sedan,225000.0,2500.0,Petrol,Automatic,7499.0,17,q2,13235.0,38250.0,11248.5
Dacia,Logan,2008,Sedan,300000.0,1400.0,Metan/Propan,Manual,799.0,14,q4,21429.0,42000.0,1316.0
BMW,5 Series,2008,Sedan,343000.0,2000.0,Diesel,Automatic,1799.0,14,q4,24500.0,48020.0,3387.7639215686277
Nissan,X-Trail,2018,SUV,3690.0,2488.0,Petrol,Automatic,21900.0,4,q1,922.0,147.6,126.76235294117647
Hyundai,Tucson,2005,SUV,270300.0,2000.0,Diesel,Manual,4500.0,17,q3,15900.0,45951.0,8109.0
Nissan,Rare,2012,SUV,134000.0,2500.0,Diesel,Automatic,17000.0,10,q2,13400.0,13400.0,8933.333333333334
Toyota,Corolla,2005,Sedan,170000.0,1400.0,Diesel,Manual,5600.0,17,q1,10000.0,28900.0,6346.666666666667
Opel,Combo,2014,Microvan,194000.0,1300.0,Diesel,Manual,7200.0,8,q4,24250.0,15520.0,4382.117647058823
Renault,Laguna,2004,Universal,302000.0,1998.0,Petrol,Manual,2200.0,18,q3,16778.0,54360.0,4689.882352941177
Renault,Kangoo,2015,Minivan,113000.0,1500.0,Diesel,Manual,4900.0,7,q3,16143.0,7910.0,1519.9607843137255
Peugeot,Rare,2018,SUV,160000.0,1500.0,Diesel,Automatic,15500.0,4,q4,40000.0,6400.0,3890.1960784313724
Vaz,Rare,1998,Sedan,19960.0,1500.0,Petrol,Manual,1000.0,24,q1,832.0,4790.4,187.85882352941175
Audi,A5,2011,Coupe,110000.0,2000.0,Petrol,Automatic,12300.0,11,q1,10000.0,12100.0,5836.470588235294
Dacia,Logan,2008,Universal,2600.0,1600.0,Metan/Propan,Manual,2500.0,14,q1,186.0,364.0,35.68627450980392
Volkswagen,Passat,1993,Universal,225789.0,1900.0,Diesel,Manual,700.0,29,q1,7786.0,65478.81,1797.4575294117647
Toyota,Avensis,2001,Sedan,300000.0,2000.0,Diesel,Manual,3800.0,21,q2,14286.0,63000.0,9388.235294117647
BMW,5 Series,2018,Sedan,58000.0,1998.0,Plug-in Hybrid,Automatic,40500.0,4,q3,14500.0,2320.0,3684.705882352941
Skoda,Rare,2007,Microvan,200000.0,1400.0,Metan/Propan,Manual,4500.0,15,q2,13333.0,30000.0,5294.117647058823
Toyota,Corolla,2009,Sedan,83000.0,1400.0,Petrol,Manual,7000.0,13,q1,6385.0,10790.0,2961.9607843137255
Renault,Scenic,2004,Hatchback,345000.0,1500.0,Diesel,Manual,2800.0,18,q4,19167.0,62100.0,6818.823529411765
Toyota,Corolla,2014,Sedan,184000.0,1600.0,Petrol,Automatic,11000.0,8,q4,23000.0,14720.0,6349.803921568628
Mitsubishi,Galant,1995,Sedan,23512.0,1800.0,Petrol,Manual,600.0,27,q1,871.0,6348.24,149.37035294117646
Suzuki,Rare,1997,Combi,450000.0,1600.0,Metan/Propan,Manual,1650.0,25,q3,18000.0,112500.0,7279.411764705882
Dacia,Duster,2014,SUV,112414.0,1500.0,Diesel,Manual,8550.0,8,q2,14052.0,8993.12,3015.3402352941175
Skoda,Octavia,2019,Universal,35007.0,1998.0,Diesel,Automatic,22900.0,3,q2,11669.0,1050.21,943.1297647058824
Mercedes,C Class,1994,Sedan,180000.0,1800.0,Metan/Propan,Manual,4500.0,28,q1,6429.0,50400.0,8894.117647058823
Toyota,Prius,2013,Hatchback,146453.0,1800.0,Hybrid,Automatic,9999.0,9,q3,16273.0,13180.77,5168.412518823529
BMW,5 Series,2000,Sedan,477333.0,2000.0,Metan/Propan,Manual,4333.0,22,q4,21697.0,105013.26,17844.017865882353
Renault,Grand Scenic,2013,Minivan,180000.0,1500.0,Diesel,Manual,7800.0,9,q4,20000.0,16200.0,4955.294117647059
Opel,Astra,2008,Universal,209112.0,1248.0,Diesel,Manual,4200.0,14,q3,14937.0,29275.68,4821.876705882353
BMW,5 Series,2006,Sedan,320000.0,3000.0,Diesel,Automatic,9500.0,16,q4,20000.0,51200.0,19074.50980392157
Audi,A6,1996,Sedan,234567.0,2598.0,Petrol,Automatic,3400.0,26,q1,9022.0,60987.42,8131.656
Toyota,Rare,2014,Crossover,185000.0,2700.0,Metan/Propan,Automatic,18900.0,8,q4,23125.0,14800.0,10969.411764705883
Honda,CR-V,2005,Crossover,278000.0,2000.0,Petrol,Manual,7900.0,17,q3,16353.0,47260.0,14641.333333333334
Volkswagen,Passat,1992,Sedan,230234.0,1900.0,Diesel,Manual,1750.0,30,q1,7674.0,69070.2,4740.111764705883
Renault,Grand Scenic,2015,Minivan,173000.0,1500.0,Diesel,Automatic,9200.0,7,q4,24714.0,12110.0,4369.098039215686
Opel,Rare,2001,Sedan,321700.0,2200.0,Diesel,Manual,1500.0,21,q3,15319.0,67557.0,3973.9411764705883
Toyota,Prius,2007,Hatchback,222000.0,1500.0,Hybrid,Automatic,5499.0,15,q3,14800.0,33300.0,7181.047058823529
BMW,5 Series,2013,Sedan,172000.0,2000.0,Diesel,Automatic,17799.0,9,q4,19111.0,15480.0,10805.04
Land Rover,Freelander,2007,SUV,238011.0,2200.0,Diesel,Automatic,8350.0,15,q3,15867.0,35701.65,11690.540294117647
Seat,Rare,2002,Minivan,67845.0,1900.0,Diesel,Manual,1750.0,20,q1,3392.0,13569.0,931.2058823529412
Toyota,Avensis,2006,Sedan,220000.0,2000.0,Petrol,Manual,4750.0,16,q2,13750.0,35200.0,6556.862745098039
Renault,Grand Scenic,2012,Universal,168000.0,1500.0,Diesel,Automatic,6699.0,10,q3,16800.0,16800.0,4413.458823529411
Skoda,Rapid,2017,Hatchback,39800.0,1422.0,Diesel,Manual,9590.0,5,q1,7960.0,1990.0,748.3960784313725
Mazda,Rare,1997,Sedan,358000.0,2497.0,Petrol,Automatic,1150.0,25,q2,14320.0,89500.0,4036.274509803922
BMW,5 Series,2014,Sedan,147200.0,2000.0,Diesel,Automatic,17999.0,8,q3,18400.0,11776.0,8312.008784313726
Citroen,C3,2002,Hatchback,214000.0,1200.0,Petrol,Manual,2100.0,20,q2,10700.0,42800.0,3524.705882352941
Mitsubishi,Rare,2007,Hatchback,138000.0,1332.0,Petrol,Automatic,3500.0,15,q1,9200.0,20700.0,2841.176470588235
Audi,A5,2011,Coupe,139000.0,2000.0,Petrol,Automatic,13350.0,11,q2,12636.0,15290.0,8004.764705882353
Lexus,RX Series,2010,SUV,212000.0,3500.0,Hybrid,Automatic,19250.0,12,q3,17667.0,25440.0,19204.70588235294
Land Rover,Range Rover Sport,2017,SUV,65000.0,2993.0,Diesel,Automatic,55000.0,5,q2,13000.0,3250.0,7009.803921568628
Fiat,Rare,2009,Combi,295000.0,1600.0,Metan/Propan,Manual,2400.0,13,q4,22692.0,38350.0,3609.4117647058824
Lexus,RX Series,2008,Crossover,239000.0,3311.0,Hybrid,Automatic,14700.0,14,q3,17071.0,33460.0,19288.70588235294
Renault,Megane,2013,Minivan,216000.0,1500.0,Diesel,Manual,6500.0,9,q4,24000.0,19440.0,4955.294117647059
KIA,Rare,2017,Crossover,10500.0,1600.0,Hybrid,Automatic,13300.0,5,q1,2100.0,525.0,273.8235294117647
Hyundai,Tucson,2017,Crossover,145000.0,2000.0,Diesel,Automatic,19300.0,5,q4,29000.0,7250.0,5487.254901960784
Hyundai,Rare,2017,Crossover,45000.0,1600.0,Petrol,Automatic,14450.0,5,q1,9000.0,2250.0,1275.0
Suzuki,Rare,2017,SUV,37000.0,1600.0,Petrol,Automatic,14650.0,5,q1,7400.0,1850.0,1062.8431372549019
Rare,Rare,2007,Crossover,80000.0,2200.0,Petrol,Automatic,5000.0,15,q1,5333.0,12000.0,2352.9411764705883
Citroen,Rare,2006,Minivan,290300.0,2200.0,Diesel,Manual,5000.0,16,q3,18144.0,46448.0,9107.450980392157
Renault,Megane,2015,Universal,194000.0,1500.0,Diesel,Manual,6600.0,7,q4,27714.0,13580.0,3514.823529411765
Suzuki,Rare,2007,Coupe,120000.0,1300.0,Petrol,Manual,1900.0,15,q1,8000.0,18000.0,1341.1764705882354
Toyota,Prius,2008,Sedan,203000.0,1500.0,Hybrid,Automatic,6500.0,14,q3,14500.0,28420.0,7244.313725490196
Mercedes,C Class,2012,Universal,222222.0,2200.0,Diesel,Automatic,13999.0,10,q4,22222.0,22222.2,12199.552070588235
Toyota,Rare,2012,Universal,150000.0,1800.0,Hybrid,Automatic,9450.0,10,q3,15000.0,15000.0,5558.823529411765
Lexus,CT Series,2014,Hatchback,169000.0,1793.0,Hybrid,Automatic,12500.0,8,q4,21125.0,13520.0,6627.450980392156
BMW,5 Series,2004,Sedan,410200.0,2500.0,Diesel,Automatic,8000.0,18,q4,22789.0,73836.0,23164.235294117647
Mercedes,E Class,1995,Coupe,329500.0,2000.0,Petrol,Manual,4900.0,27,q2,12204.0,88965.0,17095.235294117647
Mercedes,E Class,1995,Sedan,274580.0,3200.0,Petrol,Manual,3250.0,27,q1,10170.0,74136.6,9448.782352941178
Toyota,Prius,2009,Hatchback,203000.0,1800.0,Petrol,Automatic,7100.0,13,q3,15615.0,26390.0,7347.803921568628
Opel,Rare,1984,Hatchback,180000.0,1600.0,Diesel,Manual,1150.0,38,q1,4737.0,68400.0,3084.705882352941
Suzuki,Rare,2008,SUV,289000.0,2000.0,Petrol,Manual,4750.0,14,q4,20643.0,40460.0,7536.666666666667
Renault,Megane,2013,Universal,175000.0,1461.0,Diesel,Manual,6200.0,9,q4,19444.0,15750.0,3829.4117647058824
Mercedes,E Class,2003,Sedan,317000.0,2200.0,Diesel,Automatic,7000.0,19,q3,16684.0,60230.0,16533.725490196077
KIA,Rare,1995,Sedan,260000.0,1500.0,Petrol,Manual,470.0,27,q1,9630.0,70200.0,1293.8823529411766
Skoda,Octavia,1999,Combi,360000.0,1900.0,Diesel,Manual,3700.0,23,q3,15652.0,82800.0,12014.117647058823
Ford,Mondeo,2004,Hatchback,220951.0,1800.0,Metan/Propan,Manual,3500.0,18,q2,12275.0,39771.18,5458.789411764706
Daewoo,Rare,2001,Minivan,279000.0,2000.0,Metan/Propan,Manual,1400.0,21,q2,13286.0,58590.0,3216.705882352941
Renault,Scenic,2012,Universal,152340.0,1461.0,Diesel,Manual,7750.0,10,q3,15234.0,15234.0,4629.941176470588
Renault,Megane,2006,Universal,250000.0,1500.0,Diesel,Manual,2850.0,16,q3,15625.0,40000.0,4470.588235294118
Hyundai,Tucson,2006,Crossover,149000.0,2000.0,Metan/Propan,Manual,6150.0,16,q1,9312.0,23840.0,5749.64705882353
Skoda,Rapid,2014,Hatchback,145000.0,1600.0,Petrol,Manual,7900.0,8,q3,18125.0,11600.0,3593.725490196078
Ford,Fiesta,2007,Hatchback,166500.0,1400.0,Petrol,Automatic,3600.0,15,q2,11100.0,24975.0,3525.8823529411766
Ford,Rare,2002,Universal,120000.0,3200.0,Petrol,Automatic,2000.0,20,q1,6000.0,24000.0,1882.3529411764705
Audi,A4,2010,Universal,215000.0,1998.0,Diesel,Manual,4900.0,12,q3,17917.0,25800.0,4957.64705882353
Toyota,Prius,2014,Hatchback,80100.0,1798.0,Hybrid,Automatic,7900.0,8,q1,10012.0,6408.0,1985.2235294117647
Volvo,S60,2010,Sedan,270150.0,1995.0,Diesel,Manual,4800.0,12,q4,22512.0,32418.0,6102.211764705882
Toyota,Auris,2017,Hatchback,59000.0,1798.0,Hybrid,Automatic,9900.0,5,q2,11800.0,2950.0,1145.2941176470588
Mitsubishi,Rare,1992,SUV,199900.0,2477.0,Diesel,Automatic,2000.0,30,q1,6663.0,59970.0,4703.529411764706
Volkswagen,Touareg,2013,Crossover,284000.0,4134.0,Diesel,Automatic,9800.0,9,q4,31556.0,25560.0,9823.058823529413
KIA,Sportage,2018,Crossover,57000.0,1685.0,Diesel,Manual,11400.0,4,q2,14250.0,2280.0,1019.2941176470588
Volkswagen,Tiguan,2017,Crossover,175000.0,1968.0,Diesel,Manual,15900.0,5,q4,35000.0,8750.0,5455.882352941177
BMW,7 Series,2005,Sedan,242000.0,2993.0,Diesel,Automatic,3700.0,17,q2,14235.0,41140.0,5969.333333333333
Toyota,C-HR,2017,Crossover,58000.0,1798.0,Hybrid,Automatic,15900.0,5,q2,11600.0,2900.0,1808.235294117647
Volvo,XC90,2011,Crossover,217657.0,2400.0,Diesel,Automatic,12900.0,11,q4,19787.0,23942.27,12111.971882352942
Toyota,Prius,2016,Hatchback,54967.0,1798.0,Hybrid,Automatic,11500.0,6,q1,9161.0,3298.02,1487.3423529411764
Dacia,Rare,2016,Hatchback,75000.0,1461.0,Diesel,Manual,5200.0,6,q2,12500.0,4500.0,917.6470588235294
BMW,X5,2007,Crossover,209000.0,2993.0,Diesel,Automatic,6700.0,15,q2,13933.0,31350.0,8237.058823529413
KIA,Sportage,2016,Crossover,107772.0,1995.0,Diesel,Automatic,15500.0,6,q3,17962.0,6466.32,3930.5082352941176
Volkswagen,Passat,2018,Universal,93000.0,1968.0,Diesel,Automatic,15600.0,4,q4,23250.0,3720.0,2275.764705882353
Audi,Rare,2006,Universal,247500.0,1968.0,Diesel,Manual,2400.0,16,q3,15469.0,39600.0,3727.0588235294117
Mercedes,E Class,2009,Sedan,246121.0,2143.0,Diesel,Automatic,7100.0,13,q4,18932.0,31995.73,8908.615019607843
BMW,X5,2013,Crossover,236000.0,2993.0,Diesel,Automatic,30000.0,9,q4,26222.0,21240.0,24988.235294117647
KIA,Rare,2015,Roadster,103721.0,1582.0,Diesel,Manual,7000.0,7,q3,14817.0,7260.47,1993.0701960784313
BMW,X6,2015,Crossover,105000.0,2993.0,Diesel,Automatic,36500.0,7,q3,15000.0,7350.0,10520.588235294117
Dacia,Duster,2018,Crossover,29566.0,1461.0,Diesel,Manual,11200.0,4,q1,7392.0,1182.64,519.4340392156863
Volkswagen,Tiguan,2018,Crossover,95483.0,1968.0,Diesel,Manual,18900.0,4,q4,23871.0,3819.32,2830.7901176470587
Hyundai,ix35,2014,Crossover,115792.0,1685.0,Diesel,Manual,12200.0,8,q3,14474.0,9263.36,4431.882039215686
Toyota,Land Cruiser,2001,SUV,171000.0,2982.0,Diesel,Manual,3300.0,21,q1,8143.0,35910.0,4647.176470588235
Toyota,Auris,2010,Hatchback,75000.0,1798.0,Hybrid,Automatic,3000.0,12,q1,6250.0,9000.0,1058.8235294117646
BMW,X5,2008,Crossover,331066.0,2993.0,Diesel,Automatic,6900.0,14,q4,23648.0,46349.24,12541.55905882353
Hyundai,Santa FE,2019,Crossover,41000.0,1995.0,Diesel,Manual,25800.0,3,q2,13667.0,1230.0,1244.4705882352941
Ford,Kuga,2015,Crossover,111000.0,1997.0,Diesel,Manual,11500.0,7,q3,15857.0,7770.0,3504.1176470588234
Honda,CR-V,2015,Crossover,79580.0,1597.0,Diesel,Manual,15200.0,7,q2,11369.0,5570.6,3320.5145098039216
Toyota,C-HR,2019,Crossover,45000.0,1798.0,Hybrid,Automatic,17400.0,3,q3,15000.0,1350.0,921.1764705882352
Nissan,X-Trail,2014,Crossover,123109.0,1598.0,Diesel,Manual,13800.0,8,q3,15389.0,9848.72,5329.895529411765
Volkswagen,Tiguan,2014,Crossover,133500.0,1968.0,Diesel,Manual,12200.0,8,q3,16688.0,10680.0,5109.64705882353
Volkswagen,Passat,2012,Universal,249758.0,1598.0,Diesel,Manual,8900.0,10,q4,24976.0,24975.8,8717.043921568627
Opel,Astra,2016,Universal,196000.0,1598.0,Diesel,Manual,7200.0,6,q4,32667.0,11760.0,3320.470588235294
Volkswagen,Tiguan,2015,Crossover,188000.0,1968.0,Diesel,Manual,12500.0,7,q4,26857.0,13160.0,6450.980392156863
Nissan,X-Trail,2015,Crossover,141687.0,1598.0,Diesel,Manual,12700.0,7,q4,20241.0,9918.09,4939.597764705883
Nissan,X-Trail,2011,Crossover,258000.0,1995.0,Diesel,Manual,10500.0,11,q4,23455.0,28380.0,11685.882352941177
Nissan,Qashqai+2,2010,Crossover,195000.0,1995.0,Diesel,Manual,5000.0,12,q3,16250.0,23400.0,4588.235294117647
Volkswagen,Tiguan,2010,Crossover,198000.0,1968.0,Diesel,Manual,5500.0,12,q3,16500.0,23760.0,5124.705882352941
Volkswagen,Caddy,2017,Universal,159910.0,1968.0,Diesel,Manual,11000.0,5,q4,31982.0,7995.5,3449.0392156862745
Opel,Astra,2017,Universal,101000.0,1598.0,Diesel,Manual,8100.0,5,q4,20200.0,5050.0,1604.1176470588234
Volkswagen,Tiguan,2017,Crossover,180021.0,1968.0,Diesel,Manual,16000.0,5,q4,36004.0,9001.05,5647.717647058824
Dacia,Duster,2017,Crossover,69000.0,1461.0,Diesel,Manual,8800.0,5,q2,13800.0,3450.0,1190.5882352941176
Audi,A6,2007,Universal,239887.0,2698.0,Diesel,Automatic,4700.0,15,q3,15992.0,35983.05,6632.17
Dacia,Lodgy,2018,Minivan,72000.0,1461.0,Diesel,Manual,8800.0,4,q3,18000.0,2880.0,993.8823529411765
Dacia,Rare,2013,Roadster,190000.0,1461.0,Diesel,Manual,4900.0,9,q4,21111.0,17100.0,3285.8823529411766
Audi,A4,2008,Universal,300000.0,3000.0,Diesel,Manual,4000.0,14,q4,21429.0,42000.0,6588.235294117647
Opel,Astra,2018,Universal,111700.0,1598.0,Diesel,Automatic,8700.0,4,q4,27925.0,4468.0,1524.3764705882354
Volvo,Rare,2010,Hatchback,173180.0,1560.0,Diesel,Manual,3900.0,12,q2,14432.0,20781.6,3178.3623529411766
BMW,7 Series,2001,Sedan,260000.0,2926.0,Diesel,Automatic,2200.0,21,q2,12381.0,54600.0,4710.588235294118
Volkswagen,Passat,2006,Universal,229094.0,1968.0,Diesel,Manual,3000.0,16,q2,14318.0,36655.04,4312.357647058823
Toyota,Prius,2007,Hatchback,260000.0,1497.0,Hybrid,Automatic,2900.0,15,q3,17333.0,39000.0,4435.294117647059
Audi,A6,2004,Sedan,250000.0,2967.0,Diesel,Automatic,3300.0,18,q2,13889.0,45000.0,5823.529411764706
Honda,CR-V,2007,Crossover,224107.0,2204.0,Diesel,Manual,4600.0,15,q3,14940.0,33616.05,6064.071764705883
KIA,Rare,1998,Sedan,277345.0,1500.0,Petrol,Manual,1000.0,24,q2,11556.0,66562.8,2610.3058823529414
Volvo,XC90,2017,Crossover,131000.0,1969.0,Diesel,Automatic,29500.0,5,q4,26200.0,6550.0,7577.450980392156
Volkswagen,Passat,2015,Universal,127000.0,1968.0,Diesel,Automatic,9500.0,7,q3,18143.0,8890.0,3311.9607843137255
Audi,Q5,2010,Crossover,256000.0,2967.0,Diesel,Automatic,7000.0,12,q4,21333.0,30720.0,8432.941176470587
Jeep,Rare,2002,SUV,322000.0,2685.0,Diesel,Automatic,2000.0,20,q3,16100.0,64400.0,5050.980392156863
BMW,7 Series,2007,Sedan,187000.0,2993.0,Diesel,Automatic,5600.0,15,q2,12467.0,28050.0,6160.0
Volvo,XC90,2011,Crossover,268000.0,2400.0,Diesel,Automatic,12000.0,11,q4,24364.0,29480.0,13872.941176470587
Audi,A6,2008,Universal,158000.0,3000.0,Diesel,Automatic,4000.0,14,q2,11286.0,22120.0,3469.8039215686276
