Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year1,shabby,euro_r,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,km_year_q1,km_year_q2,km_year_q3,km_year_q4
2004,280000.0,200.0,5300.0,18,15556.0,50400.0,10475.29411764706,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2010,228000.0,1400.0,5700.0,12,19000.0,27360.0,6115.764705882353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
2010,185000.0,1400.0,6500.0,12,15417.0,22200.0,5658.823529411765,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2009,200415.0,1500.0,6200.0,13,15417.0,26053.95,6334.685882352941,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2016,136000.0,2000.0,13200.0,6,22667.0,8160.0,4224.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2003,250000.0,3000.0,7490.0,19,13158.0,47500.0,13951.960784313726,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
2014,195000.0,1200.0,3999.0,8,24375.0,15600.0,2446.4470588235295,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2015,170000.0,1500.0,8800.0,7,24286.0,11900.0,4106.666666666667,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2010,191500.0,1400.0,5700.0,12,15958.0,22980.0,5136.705882352941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
1991,292000.0,1800.0,1150.0,31,9419.0,90520.0,4082.274509803922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2004,250000.0,2000.0,4499.0,18,13889.0,45000.0,7939.411764705882,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
2015,158000.0,1500.0,11750.0,7,22571.0,11060.0,5096.274509803921,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2018,132000.0,1500.0,16500.0,4,33000.0,5280.0,3416.470588235294,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2005,260500.0,3000.0,8999.0,17,15324.0,44285.0,15628.263333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
2005,11111.0,1500.0,3200.0,17,654.0,1888.87,237.03466666666668,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
2013,180000.0,1500.0,8999.0,9,20000.0,16200.0,5717.011764705882,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2012,151658.0,1800.0,3899.0,10,15166.0,15165.8,2318.880556862745,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2015,185480.0,1461.0,7550.0,7,26497.0,12983.6,3844.1639215686273,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2009,215210.0,3000.0,16500.0,13,16555.0,27977.3,18102.95882352941,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2007,305988.0,1400.0,3250.0,15,20399.0,45898.2,5849.770588235294,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2014,231250.0,2000.0,18000.0,8,28906.0,18500.0,13058.823529411764,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2004,12000.0,1700.0,1800.0,18,667.0,2160.0,152.47058823529412,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
1998,11111.0,2500.0,3200.0,24,463.0,2666.64,334.63717647058826,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2014,87100.0,1200.0,7950.0,8,10888.0,6968.0,2172.3764705882354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2000,420000.0,1600.0,2999.0,22,19091.0,92400.0,10866.964705882352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2002,275100.0,2000.0,5900.0,20,13755.0,55020.0,12730.117647058823,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2015,180236.0,2000.0,21500.0,7,25748.0,12616.52,10637.458039215686,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2010,183000.0,2200.0,12999.0,12,15250.0,21960.0,11194.43294117647,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2011,195000.0,1500.0,5250.0,11,17727.0,21450.0,4416.176470588235,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1993,311254.0,2000.0,29000.0,29,10733.0,90263.66,102652.78980392157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
2010,190000.0,1300.0,6500.0,12,15833.0,22800.0,5811.764705882353,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2016,116000.0,1598.0,10300.0,6,19333.0,6960.0,2811.294117647059,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2006,250000.0,2000.0,6900.0,16,15625.0,40000.0,10823.529411764706,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2015,149000.0,1200.0,12500.0,7,21286.0,10430.0,5112.745098039216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2016,170000.0,2000.0,17490.0,6,28333.0,10200.0,6996.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2001,250000.0,4700.0,9990.0,21,11905.0,52500.0,20567.647058823528,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
2006,256000.0,1400.0,5490.0,16,16000.0,40960.0,8818.447058823529,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2002,255000.0,2000.0,3990.0,20,12750.0,51000.0,7980.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2011,190000.0,1400.0,9150.0,11,17273.0,20900.0,7499.411764705882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
2019,24000.0,3000.0,51000.0,3,8000.0,720.0,1440.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2002,270000.0,1800.0,2550.0,20,13500.0,54000.0,5400.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2010,235000.0,3000.0,20950.0,12,19583.0,28200.0,23168.235294117647,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2000,254604.0,2500.0,4500.0,22,11573.0,56012.88,9884.62588235294,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
2009,165000.0,1500.0,4999.0,13,12692.0,21450.0,4205.041176470589,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
2017,115000.0,1800.0,17999.0,5,23000.0,5750.0,4058.598039215686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1998,350000.0,3500.0,3990.0,24,14583.0,84000.0,13143.529411764706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
2012,150000.0,2500.0,14490.0,10,15000.0,15000.0,8523.529411764706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2018,31091.0,3000.0,35500.0,4,7773.0,1243.64,1731.3419607843136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
2006,280000.0,1461.0,4299.0,16,17500.0,44800.0,7552.752941176471,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2012,145000.0,1400.0,6899.0,10,14500.0,14500.0,3922.9607843137255,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1997,29800.0,2400.0,2750.0,25,1192.0,7450.0,803.4313725490196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
2013,178000.0,2000.0,9290.0,9,19778.0,16020.0,5836.305882352941,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2014,140000.0,800.0,11200.0,8,17500.0,11200.0,4919.21568627451,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
1993,300000.0,1800.0,1700.0,29,10345.0,87000.0,5800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
2017,129000.0,1500.0,10990.0,5,25800.0,6450.0,2779.823529411765,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2012,193000.0,1800.0,10950.0,10,19300.0,19300.0,8287.64705882353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
